Date,IntZone,CA,Positive7Day,Positive7DayQF,DT,Days from 2020-03-01
20200315,S02001807,S12000047,,c,2020-03-15,14
20200315,S02001808,S12000047,,c,2020-03-15,14
20200315,S02001809,S12000047,,c,2020-03-15,14
20200315,S02001810,S12000047,,c,2020-03-15,14
20200315,S02001811,S12000047,,c,2020-03-15,14
20200315,S02001812,S12000047,,c,2020-03-15,14
20200315,S02001813,S12000047,,c,2020-03-15,14
20200315,S02001814,S12000047,,c,2020-03-15,14
20200315,S02001815,S12000047,,c,2020-03-15,14
20200315,S02001816,S12000047,,c,2020-03-15,14
20200315,S02001817,S12000047,,c,2020-03-15,14
20200315,S02001818,S12000047,,c,2020-03-15,14
20200315,S02001819,S12000047,,c,2020-03-15,14
20200315,S02001820,S12000047,,c,2020-03-15,14
20200315,S02001821,S12000047,,c,2020-03-15,14
20200315,S02001822,S12000047,,c,2020-03-15,14
20200315,S02001823,S12000047,,c,2020-03-15,14
20200315,S02001824,S12000047,,c,2020-03-15,14
20200315,S02001825,S12000047,,c,2020-03-15,14
20200315,S02001826,S12000047,,c,2020-03-15,14
20200315,S02001827,S12000047,,c,2020-03-15,14
20200315,S02001828,S12000047,,c,2020-03-15,14
20200315,S02001829,S12000047,,c,2020-03-15,14
20200315,S02001830,S12000047,,c,2020-03-15,14
20200315,S02001831,S12000047,,c,2020-03-15,14
20200315,S02001832,S12000047,,c,2020-03-15,14
20200315,S02001833,S12000047,,c,2020-03-15,14
20200315,S02001834,S12000047,,c,2020-03-15,14
20200315,S02001835,S12000047,,c,2020-03-15,14
20200315,S02001836,S12000047,,c,2020-03-15,14
20200315,S02001837,S12000047,,c,2020-03-15,14
20200315,S02001838,S12000047,,c,2020-03-15,14
20200315,S02001839,S12000047,,c,2020-03-15,14
20200315,S02001840,S12000047,,c,2020-03-15,14
20200315,S02001841,S12000047,,c,2020-03-15,14
20200315,S02001842,S12000049,,c,2020-03-15,14
20200315,S02001843,S12000049,,c,2020-03-15,14
20200315,S02001844,S12000049,,c,2020-03-15,14
20200315,S02001845,S12000049,,c,2020-03-15,14
20200315,S02001846,S12000049,,c,2020-03-15,14
20200315,S02001847,S12000049,,c,2020-03-15,14
20200315,S02001848,S12000049,,c,2020-03-15,14
20200315,S02001849,S12000049,,c,2020-03-15,14
20200315,S02001850,S12000049,,c,2020-03-15,14
20200315,S02001851,S12000049,,c,2020-03-15,14
20200315,S02001852,S12000049,,c,2020-03-15,14
20200315,S02001853,S12000049,,c,2020-03-15,14
20200315,S02001854,S12000049,,c,2020-03-15,14
20200315,S02001855,S12000049,,c,2020-03-15,14
20200315,S02001856,S12000049,,c,2020-03-15,14
20200315,S02001857,S12000049,,c,2020-03-15,14
20200315,S02001858,S12000049,,c,2020-03-15,14
20200315,S02001859,S12000049,,c,2020-03-15,14
20200315,S02001860,S12000049,,c,2020-03-15,14
20200315,S02001861,S12000049,,c,2020-03-15,14
20200315,S02001862,S12000049,,c,2020-03-15,14
20200315,S02001863,S12000049,,c,2020-03-15,14
20200315,S02001864,S12000049,,c,2020-03-15,14
20200315,S02001865,S12000049,,c,2020-03-15,14
20200315,S02001866,S12000049,,c,2020-03-15,14
20200315,S02001867,S12000049,,c,2020-03-15,14
20200315,S02001868,S12000049,,c,2020-03-15,14
20200315,S02001869,S12000049,,c,2020-03-15,14
20200315,S02001870,S12000049,,c,2020-03-15,14
20200315,S02001871,S12000049,,c,2020-03-15,14
20200315,S02001872,S12000049,,c,2020-03-15,14
20200315,S02001873,S12000049,,c,2020-03-15,14
20200315,S02001874,S12000049,,c,2020-03-15,14
20200315,S02001875,S12000049,,c,2020-03-15,14
20200315,S02001876,S12000049,,c,2020-03-15,14
20200315,S02001877,S12000049,,c,2020-03-15,14
20200315,S02001878,S12000049,,c,2020-03-15,14
20200315,S02001879,S12000049,,c,2020-03-15,14
20200315,S02001880,S12000049,,c,2020-03-15,14
20200315,S02001881,S12000049,,c,2020-03-15,14
20200315,S02001882,S12000049,,c,2020-03-15,14
20200315,S02001883,S12000049,,c,2020-03-15,14
20200315,S02001884,S12000049,,c,2020-03-15,14
20200315,S02001885,S12000049,,c,2020-03-15,14
20200315,S02001886,S12000049,,c,2020-03-15,14
20200315,S02001887,S12000049,,c,2020-03-15,14
20200315,S02001888,S12000049,,c,2020-03-15,14
20200315,S02001889,S12000049,,c,2020-03-15,14
20200315,S02001890,S12000049,,c,2020-03-15,14
20200315,S02001891,S12000049,,c,2020-03-15,14
20200315,S02001892,S12000049,,c,2020-03-15,14
20200315,S02001893,S12000049,,c,2020-03-15,14
20200315,S02001894,S12000049,,c,2020-03-15,14
20200315,S02001895,S12000049,,c,2020-03-15,14
20200315,S02001896,S12000049,,c,2020-03-15,14
20200315,S02001897,S12000049,,c,2020-03-15,14
20200315,S02001898,S12000049,,c,2020-03-15,14
20200315,S02001899,S12000049,,c,2020-03-15,14
20200315,S02001900,S12000049,,c,2020-03-15,14
20200315,S02001901,S12000049,,c,2020-03-15,14
20200315,S02001902,S12000049,,c,2020-03-15,14
20200315,S02001903,S12000049,,c,2020-03-15,14
20200315,S02001904,S12000049,,c,2020-03-15,14
20200315,S02001905,S12000049,,c,2020-03-15,14
20200315,S02001906,S12000049,,c,2020-03-15,14
20200315,S02001907,S12000049,,c,2020-03-15,14
20200315,S02001908,S12000049,,c,2020-03-15,14
20200315,S02001909,S12000049,,c,2020-03-15,14
20200315,S02001910,S12000049,,c,2020-03-15,14
20200315,S02001911,S12000049,,c,2020-03-15,14
20200315,S02001912,S12000049,,c,2020-03-15,14
20200315,S02001913,S12000049,,c,2020-03-15,14
20200315,S02001914,S12000049,,c,2020-03-15,14
20200315,S02001915,S12000049,,c,2020-03-15,14
20200315,S02001916,S12000049,,c,2020-03-15,14
20200315,S02001917,S12000049,,c,2020-03-15,14
20200315,S02001918,S12000049,,c,2020-03-15,14
20200315,S02001919,S12000049,,c,2020-03-15,14
20200315,S02001920,S12000049,,c,2020-03-15,14
